code,name
1301,(株)極洋
1332,日本水産(株)
1333,マルハニチロ(株)
1352,(株)ホウスイ
1376,カネコ種苗(株)
1377,(株)サカタのタネ
1379,ホクト(株)
1380,(株)秋川牧園
1381,(株)アクシーズ
1382,(株)ホーブ
1383,ベルグアース(株)
1384,(株)ホクリヨウ
1400,ルーデン・ホールディングス(株)
1401,(株)エムビーエス
1407,(株)ウエストホールディングス
1413,(株)ヒノキヤグループ
1414,ショーボンドホールディングス(株)
1417,(株)ミライト・ホールディングス
1418,インターライフホールディングス(株)
1419,タマホーム(株)
1420,サンヨーホームズ(株)
1429,(株)日本アクア
1430,ファーストコーポレーション(株)
1431,(株)Ｌｉｂ　Ｗｏｒｋ
1433,ベステラ(株)
1434,ＪＥＳＣＯホールディングス(株)
1435,(株)ＴＡＴＥＲＵ
1436,(株)フィット
1438,(株)岐阜造園
1439,(株)安江工務店
1443,技研ホールディングス(株)
1444,(株)ニッソウ
1446,(株)キャンディル
1447,ＩＴｂｏｏｋホールディングス(株)
1448,(株)スペースバリューホールディングス
1449,(株)ＦＵＪＩジャパン
1450,田中建設工業(株)
1451,(株)ＫＨＣ
1491,中外鉱業(株)
1514,住石ホールディングス(株)
1515,日鉄鉱業(株)
1518,三井松島ホールディングス(株)
1605,国際石油開発帝石(株)
1662,石油資源開発(株)
1663,Ｋ＆Ｏエナジーグループ(株)
1711,(株)省電舎ホールディングス
1712,(株)ダイセキ環境ソリューション
1716,第一カッター興業(株)
1717,明豊ファシリティワークス(株)
1718,美樹工業(株)
1719,安藤ハザマ
1720,東急建設(株)
1721,コムシスホールディングス(株)
1723,日本電技(株)
1724,シンクレイヤ(株)
1726,(株)ビーアールホールディングス
1728,ミサワホーム中国(株)
1730,麻生フオームクリート(株)
1734,(株)北弘電社
1736,(株)オーテック
1737,三井金属エンジニアリング(株)
1738,(株)ＮＩＴＴＯＨ
1739,シード平和(株)
1743,コーアツ工業(株)
1757,クレアホールディングス(株)
1758,太洋基礎工業(株)
1762,(株)高松コンストラクショングループ
1764,工藤建設(株)
1766,東建コーポレーション(株)
1768,(株)ソネック
1770,藤田エンジニアリング(株)
1771,日本乾溜工業(株)
1773,ＹＴＬ
1775,富士古河Ｅ＆Ｃ(株)
1776,三井住建道路(株)
1777,川崎設備工業(株)
1780,(株)ヤマウラ
1782,常磐開発(株)
1783,(株)アジアゲートホールディングス
1787,(株)ナカボーテック
1788,(株)三東工業社
1789,(株)ＥＴＳホールディングス
1793,(株)大本組
1795,(株)マサル
1798,(株)守谷商会
1799,第一建設工業(株)
1801,大成建設(株)
1802,(株)大林組
1803,清水建設(株)
1805,飛島建設(株)
1807,(株)佐藤渡辺
1808,(株)長谷工コーポレーション
1810,松井建設(株)
1811,(株)錢高組
1812,鹿島
1813,(株)不動テトラ
1814,大末建設(株)
1815,鉄建建設(株)
1820,西松建設(株)
1821,三井住友建設(株)
1822,大豊建設(株)
1824,前田建設工業(株)
1826,佐田建設(株)
1827,(株)ナカノフドー建設
